2, 4, 4
acc    val_acc
0.2552 0.3132
0.4492 0.5733
0.6133 0.6429
0.6885 0.6538
0.7114 0.6868
0.7424 0.6886
0.7629 0.6941
0.7756 0.7088
0.7913 0.7198
0.8000 0.7216
0.8227 0.7051
0.8282 0.7125
0.8357 0.7088
0.8510 0.7161
0.8598 0.7253
0.8571 0.7143
0.8667 0.7070
0.8720 0.7106
0.8822 0.7143
0.8806 0.7033
0.8918 0.7179
0.9022 0.7344
0.9036 0.7033
0.8989 0.7106
0.9060 0.7271
0.9087 0.6978
0.9191 0.7106
0.9266 0.7070
0.9299 0.6960
0.9238 0.7033
0.9232 0.7070
0.9313 0.7015
0.9262 0.6941
0.9311 0.7106
0.9307 0.6978
0.9435 0.6996
0.9325 0.7033
0.9419 0.6996
0.9446 0.7070
0.9452 0.7125
0.9472 0.6996
0.9470 0.7070
0.9497 0.6978
0.9484 0.6996
0.9497 0.7015
0.9574 0.6941
0.9466 0.7088
0.9458 0.7070
0.9537 0.6923
0.9476 0.7106
